name,id,key_frame_idx
clearsoda_to_white_real_view_0,000003,0
clearsoda_to_white_real_view_0,000003,37
clearsoda_to_white_real_view_0,000003,77
clearsoda_to_white_real_view_0,000003,188
clearsoda_to_white_real_view_0,000003,216
clearsoda_to_white_real_view_0,000003,259
clearsoda_to_white_real_view_1,000004,0
clearsoda_to_white_real_view_1,000004,36
clearsoda_to_white_real_view_1,000004,76
clearsoda_to_white_real_view_1,000004,188
clearsoda_to_white_real_view_1,000004,216
clearsoda_to_white_real_view_1,000004,257
milk_to_white_real_view_0,000019,0
milk_to_white_real_view_0,000019,43
milk_to_white_real_view_0,000019,102
milk_to_white_real_view_0,000019,223
milk_to_white_real_view_0,000019,256
milk_to_white_real_view_0,000019,311
milk_to_white_real_view_1,000020,0
milk_to_white_real_view_1,000020,43
milk_to_white_real_view_1,000020,102
milk_to_white_real_view_1,000020,222
milk_to_white_real_view_1,000020,255
milk_to_white_real_view_1,000020,309
pom_to_clear_real_view_0,000023,0
pom_to_clear_real_view_0,000023,34
pom_to_clear_real_view_0,000023,62
pom_to_clear_real_view_0,000023,194
pom_to_clear_real_view_0,000023,221
pom_to_clear_real_view_0,000023,264
pom_to_clear_real_view_1,000024,0
pom_to_clear_real_view_1,000024,34
pom_to_clear_real_view_1,000024,64
pom_to_clear_real_view_1,000024,195
pom_to_clear_real_view_1,000024,222
pom_to_clear_real_view_1,000024,265
